LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	No
X_Columns	One
Time_Pref	Relative
Operator	LHRI
Date	2006/09/18
Time	12:14:00.614999
***End_of_Header***	
	
Channels	1	
Samples	1000	
Date	2006/09/18	
Time	12:14:00.614999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	0.010000	
***End_of_Header***		
X_Value	Wrist Extensors	Comment
7.870000	4.244244
7.880000	4.224224
7.890000	4.204204
7.900000	4.184184
7.910000	4.164164
7.920000	4.144144
7.930000	4.124124
7.940000	4.104104
7.950000	4.084084
7.960000	4.064064
7.970000	4.044044
7.980000	4.024024
7.990000	4.004004
8.000000	3.983984
8.010000	3.963964
8.020000	3.943944
8.030000	3.923924
8.040000	3.903904
8.050000	3.883884
8.060000	3.863864
8.070000	3.843844
8.080000	3.823824
8.090000	3.803804
8.100000	3.783784
8.110000	3.763764
8.120000	3.743744
8.130000	3.723724
8.140000	3.703704
8.150000	3.683684
8.160000	3.663664
8.170000	3.643644
8.180000	3.623624
8.190000	3.603604
8.200000	3.583584
8.210000	3.563564
8.220000	3.543544
8.230000	3.523524
8.240000	3.503504
8.250000	3.483483
8.260000	3.463463
8.270000	3.443443
8.280000	3.423423
8.290000	3.403403
8.300000	3.383383
8.310000	3.363363
8.320000	3.343343
8.330000	3.323323
8.340000	3.303303
8.350000	3.283283
8.360000	3.263263
8.370000	3.243243
8.380000	3.223223
8.390000	3.203203
8.400000	3.183183
8.410000	3.163163
8.420000	3.143143
8.430000	3.123123
8.440000	3.103103
8.450000	3.083083
8.460000	3.063063
8.470000	3.043043
8.480000	3.023023
8.490000	3.003003
8.500000	2.982983
8.510000	2.962963
8.520000	2.942943
8.530000	2.922923
8.540000	2.902903
8.550000	2.882883
8.560000	2.862863
8.570000	2.842843
8.580000	2.822823
8.590000	2.802803
8.600000	2.782783
8.610000	2.762763
8.620000	2.742743
8.630000	2.722723
8.640000	2.702703
8.650000	2.682683
8.660000	2.662663
8.670000	2.642643
8.680000	2.622623
8.690000	2.602603
8.700000	2.582583
8.710000	2.562563
8.720000	2.542543
8.730000	2.522523
8.740000	2.502503
8.750000	2.482482
8.760000	2.462462
8.770000	2.442442
8.780000	2.422422
8.790000	2.402402
8.800000	2.382382
8.810000	2.362362
8.820000	2.342342
8.830000	2.322322
8.840000	2.302302
8.850000	2.282282
8.860000	2.262262
8.870000	2.242242
8.880000	2.222222
8.890000	2.202202
8.900000	2.182182
8.910000	2.162162
8.920000	2.142142
8.930000	2.122122
8.940000	2.102102
8.950000	2.082082
8.960000	2.062062
8.970000	2.042042
8.980000	2.022022
8.990000	2.002002
9.000000	1.981982
9.010000	1.961962
9.020000	1.941942
9.030000	1.921922
9.040000	1.901902
9.050000	1.881882
9.060000	1.861862
9.070000	1.841842
9.080000	1.821822
9.090000	1.801802
9.100000	1.781782
9.110000	1.761762
9.120000	1.741742
9.130000	1.721722
9.140000	1.701702
9.150000	1.681682
9.160000	1.661662
9.170000	1.641642
9.180000	1.621622
9.190000	1.601602
9.200000	1.581582
9.210000	1.561562
9.220000	1.541542
9.230000	1.521522
9.240000	1.501502
9.250000	1.481481
9.260000	1.461461
9.270000	1.441441
9.280000	1.421421
9.290000	1.401401
9.300000	1.381381
9.310000	1.361361
9.320000	1.341341
9.330000	1.321321
9.340000	1.301301
9.350000	1.281281
9.360000	1.261261
9.370000	1.241241
9.380000	1.221221
9.390000	1.201201
9.400000	1.181181
9.410000	1.161161
9.420000	1.141141
9.430000	1.121121
9.440000	1.101101
9.450000	1.081081
9.460000	1.061061
9.470000	1.041041
9.480000	1.021021
9.490000	1.001001
9.500000	0.980981
9.510000	0.960961
9.520000	0.940941
9.530000	0.920921
9.540000	0.900901
9.550000	0.880881
9.560000	0.860861
9.570000	0.840841
9.580000	0.820821
9.590000	0.800801
9.600000	0.780781
9.610000	0.760761
9.620000	0.740741
9.630000	0.720721
9.640000	0.700701
9.650000	0.680681
9.660000	0.660661
9.670000	0.640641
9.680000	0.620621
9.690000	0.600601
9.700000	0.580581
9.710000	0.560561
9.720000	0.540541
9.730000	0.520521
9.740000	0.500501
9.750000	0.480480
9.760000	0.460460
9.770000	0.440440
9.780000	0.420420
9.790000	0.400400
9.800000	0.380380
9.810000	0.360360
9.820000	0.340340
9.830000	0.320320
9.840000	0.300300
9.850000	0.280280
9.860000	0.260260
9.870000	0.240240
9.880000	0.220220
9.890000	0.200200
9.900000	0.180180
9.910000	0.160160
9.920000	0.140140
9.930000	0.120120
9.940000	0.100100
9.950000	0.080080
9.960000	0.060060
9.970000	0.040040
9.980000	0.020020
9.990000	7.035864E-15
